each word,porter of each word,lancaster of each word,each len of word after porter,each len of word after lancaster,porter_data_without_stop_words,lancaster_data_without_stop_words
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
,,,0,0,,
De,de,de,2,2,de,de
hecho,hecho,hecho,5,5,hecho,hecho
muchas,mucha,mucha,5,5,mucha,mucha
grandes,grand,grand,5,5,grand,grand
empresas,empresa,empresa,7,7,empresa,empresa
e,e,e,1,1,e,e
instituciones,institucion,instituc,11,8,institucion,instituc
han,han,han,3,3,han,han
creado,creado,creado,6,6,creado,creado
y,y,y,1,1,-,-
alimentan,alimentan,aly,9,3,alimentan,aly
bases,base,bas,4,3,base,bas
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
especialmente,especialment,espec,12,5,especialment,espec
diseñadas,diseñada,diseñada,8,8,diseñada,diseñada
para,para,par,4,3,para,par
proyectos,proyecto,proyecto,8,8,proyecto,proyecto
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
en,en,en,2,2,en,en
las,la,las,2,3,la,las
que,que,que,3,3,que,que
centralizan,centralizan,cent,11,4,centralizan,cent
información,información,información,11,11,información,información
potencialmente,potencialment,pot,13,3,potencialment,pot
útil,útil,útil,4,4,útil,útil
de,de,de,2,2,de,de
todas,toda,toda,4,4,toda,toda
sus,su,sus,2,3,su,sus
áreas,área,área,4,4,área,área
de,de,de,2,2,de,de
negocio,negocio,negocio,7,7,negocio,negocio
etc,etc,etc,3,3,etc,etc
No,no,no,2,2,-,-
obstante,obstant,obst,7,4,obstant,obst
actualmente,actualment,act,10,3,actualment,act
está,está,está,4,4,está,está
cobrando,cobrando,cobrando,8,8,cobrando,cobrando
una,una,un,3,2,una,un
importancia,importancia,importanc,11,9,importancia,importanc
cada,cada,cad,4,3,cada,cad
vez,vez,vez,3,3,vez,vez
mayor,mayor,may,5,3,mayor,may
la,la,la,2,2,la,la
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
desestructurados,desestructurado,desestructurado,15,15,desestructurado,desestructurado
como,como,como,4,4,como,como
información,información,información,11,11,información,información
contenida,contenida,contenid,9,8,contenida,contenid
en,en,en,2,2,en,en
ficheros,fichero,fichero,7,7,fichero,fichero
de,de,de,2,2,de,de
texto,texto,texto,5,5,texto,texto
en,en,en,2,2,en,en
Internet,internet,internet,8,8,internet,internet
etc,etc,etc,3,3,etc,etc
Tabla,tabla,tabl,5,4,tabla,tabl
de,de,de,2,2,de,de
contenidos,contenido,contenido,9,9,contenido,contenido
[ocultar],[ocultar],[ocultar],9,9,[ocultar],[ocultar]
1,1,1,1,1,1,1
Ejemplos,ejemplo,ejemplo,7,7,ejemplo,ejemplo
de,de,de,2,2,de,de
uso,uso,uso,3,3,uso,uso
de,de,de,2,2,de,de
la,la,la,2,2,la,la
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
2,2,2,1,1,2,2
Minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
y,y,y,1,1,-,-
otras,otra,otra,4,4,otra,otra
disciplinas,disciplina,disciplina,10,10,disciplina,disciplina
análogas,análoga,análoga,7,7,análoga,análoga
3,3,3,1,1,3,3
Protocolo,protocolo,protocolo,9,9,protocolo,protocolo
de,de,de,2,2,de,de
un,un,un,2,2,un,un
proyecto,proyecto,proyecto,8,8,proyecto,proyecto
de,de,de,2,2,de,de
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
4,4,4,1,1,4,4
Tendencias,tendencia,tendencia,9,9,tendencia,tendencia
5,5,5,1,1,5,5
Minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
basada,basada,basad,6,5,basada,basad
en,en,en,2,2,en,en
teoría,teoría,teorí,6,5,teoría,teorí
de,de,de,2,2,de,de
la,la,la,2,2,la,la
información,información,información,11,11,información,información
6,6,6,1,1,6,6
Véase,véase,véas,5,4,véase,véas
también,también,también,7,7,también,también
7,7,7,1,1,7,7
Enlaces,enlac,enlac,5,5,enlac,enlac
externos,externo,externo,7,7,externo,externo
,,,0,0,,
Un,un,un,2,2,un,un
estudio,estudio,estudio,7,7,estudio,estudio
muy,muy,muy,3,3,muy,muy
citado,citado,citado,6,6,citado,citado
detectó,detectó,detectó,7,7,detectó,detectó
que,que,que,3,3,que,que
los,lo,los,2,3,lo,los
viernes,viern,viern,5,5,viern,viern
había,había,habí,5,4,había,habí
una,una,un,3,2,una,un
cantidad,cantidad,cantidad,8,8,cantidad,cantidad
inusualmente,inusualment,inus,11,4,inusualment,inus
elevada,elevada,elevad,7,6,elevada,elevad
de,de,de,2,2,de,de
clientes,client,cli,6,3,client,cli
que,que,que,3,3,que,que
adquirían,adquirían,adquirí,9,7,adquirían,adquirí
a,a,a,1,1,-,-
la,la,la,2,2,la,la
vez,vez,vez,3,3,vez,vez
pañales,pañal,pañ,5,3,pañal,pañ
y,y,y,1,1,-,-
cerveza,cerveza,cervez,7,6,cerveza,cervez
Se,se,se,2,2,se,se
detectó,detectó,detectó,7,7,detectó,detectó
que,que,que,3,3,que,que
se,se,se,2,2,se,se
debía,debía,debí,5,4,debía,debí
a,a,a,1,1,-,-
que,que,que,3,3,que,que
dicho,dicho,dicho,5,5,dicho,dicho
día,día,día,3,3,día,día
solían,solían,solí,6,4,solían,solí
acudir,acudir,acudir,6,6,acudir,acudir
al,al,al,2,2,al,al
supermercado,supermercado,supermercado,12,12,supermercado,supermercado
padres,padr,padr,4,4,padr,padr
jóvenes,jóvene,jóvenes,6,7,jóvene,jóvenes
cuya,cuya,cuy,4,3,cuya,cuy
perspectiva,perspectiva,perspectiv,11,10,perspectiva,perspectiv
para,para,par,4,3,para,par
el,el,el,2,2,el,el
fin,fin,fin,3,3,fin,fin
de,de,de,2,2,de,de
semana,semana,seman,6,5,semana,seman
consistía,consistía,consistí,9,8,consistía,consistí
en,en,en,2,2,en,en
quedarse,quedars,quedars,7,7,quedars,quedars
en,en,en,2,2,en,en
casa,casa,cas,4,3,casa,cas
cuidando,cuidando,cuidando,8,8,cuidando,cuidando
de,de,de,2,2,de,de
su,su,su,2,2,su,su
hijo,hijo,hijo,4,4,hijo,hijo
y,y,y,1,1,-,-
viendo,viendo,viendo,6,6,viendo,viendo
la,la,la,2,2,la,la
televisión,televisión,televisión,10,10,televisión,televisión
con,con,con,3,3,con,con
una,una,un,3,2,una,un
cerveza,cerveza,cervez,7,6,cerveza,cervez
en,en,en,2,2,en,en
la,la,la,2,2,la,la
mano,mano,mano,4,4,mano,mano
,,,0,0,,
El,el,el,2,2,el,el
supermercado,supermercado,supermercado,12,12,supermercado,supermercado
pudo,pudo,pudo,4,4,pudo,pudo
incrementar,incrementar,increment,11,9,incrementar,increment
sus,su,sus,2,3,su,sus
ventas,venta,venta,5,5,venta,venta
de,de,de,2,2,de,de
cerveza,cerveza,cervez,7,6,cerveza,cervez
colocándolas,colocándola,colocándola,11,11,colocándola,colocándola
próximas,próxima,próximas,7,8,próxima,próximas
a,a,a,1,1,-,-
los,lo,los,2,3,lo,los
pañales,pañal,pañ,5,3,pañal,pañ
para,para,par,4,3,para,par
fomentar,fomentar,foment,8,6,fomentar,foment
las,la,las,2,3,la,las
ventas,venta,venta,5,5,venta,venta
compulsivas,compulsiva,compulsiva,10,10,compulsiva,compulsiva
Un,un,un,2,2,un,un
ejemplo,ejemplo,ejemplo,7,7,ejemplo,ejemplo
más,má,más,2,3,má,más
habitual,habitu,habit,6,5,habitu,habit
es,es,es,2,2,es,es
el,el,el,2,2,el,el
de,de,de,2,2,de,de
la,la,la,2,2,la,la
detección,detección,detección,9,9,detección,detección
de,de,de,2,2,de,de
patrones,patron,patron,6,6,patron,patron
de,de,de,2,2,de,de
fuga,fuga,fug,4,3,fuga,fug
En,en,en,2,2,en,en
muchas,mucha,mucha,5,5,mucha,mucha
industrias,industria,industria,9,9,industria,industria
como,como,como,4,4,como,como
la,la,la,2,2,la,la
banca,banca,banc,5,4,banca,banc
las,la,las,2,3,la,las
telecomunicaciones,telecomunicacion,telecomunicac,16,13,telecomunicacion,telecomunicac
etc,etc,etc,3,3,etc,etc
existe,exist,ex,5,2,exist,ex
un,un,un,2,2,un,un
comprensible,comprens,comprens,8,8,comprens,comprens
interés,interé,interé,6,6,interé,interé
en,en,en,2,2,en,en
detectar,detectar,detect,8,6,detectar,detect
cuanto,cuanto,cuanto,6,6,cuanto,cuanto
antes,ant,ant,3,3,ant,ant
aquellos,aquello,aquello,7,7,aquello,aquello
clientes,client,cli,6,3,client,cli
que,que,que,3,3,que,que
puedan,puedan,pued,6,4,puedan,pued
estar,estar,est,5,3,estar,est
pensando,pensando,pensando,8,8,pensando,pensando
en,en,en,2,2,en,en
rescindir,rescindir,rescindir,9,9,rescindir,rescindir
sus,su,sus,2,3,su,sus
contratos,contrato,contrato,8,8,contrato,contrato
para,para,par,4,3,para,par
posiblemente,posiblement,pos,11,3,posiblement,pos
pasarse,pasars,pasars,6,6,pasars,pasars
a,a,a,1,1,-,-
la,la,la,2,2,la,la
competencia,competencia,competenc,11,9,competencia,competenc
A,a,a,1,1,-,-
estos,esto,esto,4,4,esto,esto
clientes,client,cli,6,3,client,cli
y,y,y,1,1,-,-
en,en,en,2,2,en,en
función,función,función,7,7,función,función
de,de,de,2,2,de,de
su,su,su,2,2,su,su
valor,valor,val,5,3,valor,val
se,se,se,2,2,se,se
les,le,les,2,3,le,les
podrían,podrían,podrí,7,5,podrían,podrí
hacer,hacer,hac,5,3,hacer,hac
ofertas,oferta,oferta,6,6,oferta,oferta
personalizadas,personalizada,personalizada,13,13,personalizada,personalizada
ofrecer,ofrec,ofrec,5,5,ofrec,ofrec
promociones,promocion,promoc,9,6,promocion,promoc
especiales,especial,espec,8,5,especial,espec
etc,etc,etc,3,3,etc,etc
con,con,con,3,3,con,con
el,el,el,2,2,el,el
objetivo,objetivo,objetivo,8,8,objetivo,objetivo
último,último,último,6,6,último,último
de,de,de,2,2,de,de
retenerlos,retenerlo,retenerlo,9,9,retenerlo,retenerlo
La,la,la,2,2,la,la
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
ayuda,ayuda,ayud,5,4,ayuda,ayud
a,a,a,1,1,-,-
determinar,determinar,determin,10,8,determinar,determin
qué,qué,qué,3,3,qué,qué
clientes,client,cli,6,3,client,cli
son,son,son,3,3,son,son
los,lo,los,2,3,lo,los
más,má,más,2,3,má,más
proclives,procliv,proc,7,4,procliv,proc
a,a,a,1,1,-,-
darse,dars,dars,4,4,dars,dars
de,de,de,2,2,de,de
baja,baja,baj,4,3,baja,baj
estudiando,estudiando,estudiando,10,10,estudiando,estudiando
sus,su,sus,2,3,su,sus
patrones,patron,patron,6,6,patron,patron
de,de,de,2,2,de,de
comportamiento,comportamiento,comportamiento,14,14,comportamiento,comportamiento
y,y,y,1,1,-,-
comparándolos,comparándolo,comparándolo,12,12,comparándolo,comparándolo
con,con,con,3,3,con,con
muestras,muestra,muestra,7,7,muestra,muestra
de,de,de,2,2,de,de
clientes,client,cli,6,3,client,cli
que,que,que,3,3,que,que
efectivamente,efectivament,efectiva,12,8,efectivament,efectiva
se,se,se,2,2,se,se
dieron,dieron,dieron,6,6,dieron,dieron
de,de,de,2,2,de,de
baja,baja,baj,4,3,baja,baj
en,en,en,2,2,en,en
el,el,el,2,2,el,el
pasado,pasado,pasado,6,6,pasado,pasado
Un,un,un,2,2,un,un
caso,caso,caso,4,4,caso,caso
análogo,análogo,análogo,7,7,análogo,análogo
es,es,es,2,2,es,es
el,el,el,2,2,el,el
de,de,de,2,2,de,de
la,la,la,2,2,la,la
detección,detección,detección,9,9,detección,detección
de,de,de,2,2,de,de
transacciones,transaccion,transacc,11,8,transaccion,transacc
de,de,de,2,2,de,de
blanqueo,blanqueo,blanqueo,8,8,blanqueo,blanqueo
de,de,de,2,2,de,de
dinero,dinero,dinero,6,6,dinero,dinero
o,o,o,1,1,-,-
de,de,de,2,2,de,de
fraude,fraud,fraud,5,5,fraud,fraud
en,en,en,2,2,en,en
el,el,el,2,2,el,el
uso,uso,uso,3,3,uso,uso
de,de,de,2,2,de,de
tarjetas,tarjeta,tarjeta,7,7,tarjeta,tarjeta
de,de,de,2,2,de,de
crédito,crédito,crédito,7,7,crédito,crédito
o,o,o,1,1,-,-
de,de,de,2,2,de,de
servicios,servicio,servicio,8,8,servicio,servicio
de,de,de,2,2,de,de
telefonía,telefonía,telefoní,9,8,telefonía,telefoní
móvil,móvil,móvil,5,5,móvil,móvil
e,e,e,1,1,e,e
incluso,incluso,incluso,7,7,incluso,incluso
en,en,en,2,2,en,en
la,la,la,2,2,la,la
relación,relación,relación,8,8,relación,relación
de,de,de,2,2,de,de
los,lo,los,2,3,lo,los
contribuyentes,contribuyent,contribuy,12,9,contribuyent,contribuy
con,con,con,3,3,con,con
el,el,el,2,2,el,el
fisco,fisco,fisco,5,5,fisco,fisco
Generalmente,generalment,gen,11,3,generalment,gen
estas,esta,esta,4,4,esta,esta
operaciones,operacion,operac,9,6,operacion,operac
fraudulentas,fraudulenta,fraudulenta,11,11,fraudulenta,fraudulenta
o,o,o,1,1,-,-
ilegales,ilegal,ileg,6,4,ilegal,ileg
suelen,suelen,suel,6,4,suelen,suel
seguir,seguir,seguir,6,6,seguir,seguir
patrones,patron,patron,6,6,patron,patron
característicos,característico,característico,14,14,característico,característico
que,que,que,3,3,que,que
permiten,permiten,permit,8,6,permiten,permit
con,con,con,3,3,con,con
cierto,cierto,cierto,6,6,cierto,cierto
grado,grado,grado,5,5,grado,grado
de,de,de,2,2,de,de
probabilidad,probabilidad,probabilidad,12,12,probabilidad,probabilidad
distinguirlas,distinguirla,distinguirla,12,12,distinguirla,distinguirla
de,de,de,2,2,de,de
las,la,las,2,3,la,las
legítimas,legítima,legítima,8,8,legítima,legítima
y,y,y,1,1,-,-
desarrollar,desarrollar,desarroll,11,9,desarrollar,desarroll
así,así,así,3,3,así,así
mecanismos,mecanismo,mecanismo,9,9,mecanismo,mecanismo
para,para,par,4,3,para,par
tomar,tomar,tom,5,3,tomar,tom
medidas,medida,medida,6,6,medida,medida
rápidas,rápida,rápidas,6,7,rápida,rápidas
frente,frent,frent,5,5,frent,frent
a,a,a,1,1,-,-
ellas,ella,ella,4,4,ella,ella
También,también,también,7,7,también,también
es,es,es,2,2,es,es
un,un,un,2,2,un,un
área,área,áre,4,3,área,áre
en,en,en,2,2,en,en
boga,boga,bog,4,3,boga,bog
el,el,el,2,2,el,el
del,del,del,3,3,del,del
análisis,análisi,anális,7,6,análisi,anális
del,del,del,3,3,del,del
comportamiento,comportamiento,comportamiento,14,14,comportamiento,comportamiento
de,de,de,2,2,de,de
los,lo,los,2,3,lo,los
visitantes,visitant,visit,8,5,visitant,visit
sobre,sobr,sobr,4,4,sobr,sobr
todo,todo,todo,4,4,todo,todo
cuando,cuando,cuando,6,6,cuando,cuando
son,son,son,3,3,son,son
clientes,client,cli,6,3,client,cli
potenciales,potencial,pot,9,3,potencial,pot
en,en,en,2,2,en,en
una,una,un,3,2,una,un
página,página,página,6,6,página,página
de,de,de,2,2,de,de
Internet,internet,internet,8,8,internet,internet
O,o,o,1,1,-,-
la,la,la,2,2,la,la
utilización,utilización,utilización,11,11,utilización,utilización
de,de,de,2,2,de,de
la,la,la,2,2,la,la
información,información,información,11,11,información,información
obtenida,obtenida,obtenid,8,7,obtenida,obtenid
por,por,por,3,3,por,por
medios,medio,medio,5,5,medio,medio
más,má,más,2,3,má,más
o,o,o,1,1,-,-
menos,meno,meno,4,4,meno,meno
legítimos,legítimo,legítimo,8,8,legítimo,legítimo
sobre,sobr,sobr,4,4,sobr,sobr
ellos,ello,ello,4,4,ello,ello
para,para,par,4,3,para,par
ofrecerles,ofrecerl,ofrecerl,8,8,ofrecerl,ofrecerl
propaganda,propaganda,propagand,10,9,propaganda,propagand
adaptada,adaptada,adaptad,8,7,adaptada,adaptad
específicamente,específicament,específica,14,10,específicament,específica
a,a,a,1,1,-,-
su,su,su,2,2,su,su
perfil,perfil,perfil,6,6,perfil,perfil
O,o,o,1,1,-,-
para,para,par,4,3,para,par
una,una,un,3,2,una,un
vez,vez,vez,3,3,vez,vez
que,que,que,3,3,que,que
adquieren,adquieren,adquy,9,5,adquieren,adquy
un,un,un,2,2,un,un
determinado,determinado,determinado,11,11,determinado,determinado
producto,producto,producto,8,8,producto,producto
saber,saber,sab,5,3,saber,sab
inmediatamente,inmediatament,inmediata,13,9,inmediatament,inmediata
qué,qué,qué,3,3,qué,qué
otro,otro,otro,4,4,otro,otro
ofrecerle,ofrecerl,ofrecerl,8,8,ofrecerl,ofrecerl
teniendo,teniendo,teniendo,8,8,teniendo,teniendo
en,en,en,2,2,en,en
cuenta,cuenta,cuent,6,5,cuenta,cuent
la,la,la,2,2,la,la
información,información,información,11,11,información,información
histórica,histórica,históric,9,8,histórica,históric
disponible,dispon,dispon,6,6,dispon,dispon
acerca,acerca,acerc,6,5,acerca,acerc
de,de,de,2,2,de,de
los,lo,los,2,3,lo,los
clientes,client,cli,6,3,client,cli
que,que,que,3,3,que,que
han,han,han,3,3,han,han
comprado,comprado,comprado,8,8,comprado,comprado
el,el,el,2,2,el,el
primero,primero,primero,7,7,primero,primero
Minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
y,y,y,1,1,-,-
otras,otra,otra,4,4,otra,otra
disciplinas,disciplina,disciplina,10,10,disciplina,disciplina
análogas,análoga,análoga,7,7,análoga,análoga
[editar]Suscita,[editar]suscita,[editar]suscita,15,15,[editar]suscita,[editar]suscita
cierta,cierta,ciert,6,5,cierta,ciert
polémica,polémica,polémic,8,7,polémica,polémic
el,el,el,2,2,el,el
definir,definir,definir,7,7,definir,definir
las,la,las,2,3,la,las
fronteras,frontera,frontera,8,8,frontera,frontera
existentes,existent,ex,8,2,existent,ex
entre,entr,ent,4,3,entr,ent
la,la,la,2,2,la,la
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
y,y,y,1,1,-,-
disciplinas,disciplina,disciplina,10,10,disciplina,disciplina
análogas,análoga,análoga,7,7,análoga,análoga
como,como,como,4,4,como,como
pueden,pueden,pued,6,4,pueden,pued
serlo,serlo,serlo,5,5,serlo,serlo
la,la,la,2,2,la,la
estadística,estadística,estadístic,11,10,estadística,estadístic
la,la,la,2,2,la,la
inteligencia,inteligencia,inteligenc,12,10,inteligencia,inteligenc
artificial,artifici,art,8,3,artifici,art
etc,etc,etc,3,3,etc,etc
Hay,hay,hay,3,3,hay,hay
quienes,quien,qui,5,3,quien,qui
sostienen,sostienen,sosty,9,5,sostienen,sosty
que,que,que,3,3,que,que
la,la,la,2,2,la,la
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
no,no,no,2,2,-,-
es,es,es,2,2,es,es
sino,sino,sino,4,4,sino,sino
estadística,estadística,estadístic,11,10,estadística,estadístic
envuelta,envuelta,envuelt,8,7,envuelta,envuelt
en,en,en,2,2,en,en
una,una,un,3,2,una,un
jerga,jerga,jerg,5,4,jerga,jerg
de,de,de,2,2,de,de
negocios,negocio,negocio,7,7,negocio,negocio
que,que,que,3,3,que,que
la,la,la,2,2,la,la
conviertan,conviertan,conviert,10,8,conviertan,conviert
en,en,en,2,2,en,en
un,un,un,2,2,un,un
producto,producto,producto,8,8,producto,producto
vendible,vendibl,vend,7,4,vendibl,vend
Otros,otro,otro,4,4,otro,otro
en,en,en,2,2,en,en
cambio,cambio,cambio,6,6,cambio,cambio
encuentran,encuentran,encu,10,4,encuentran,encu
en,en,en,2,2,en,en
ella,ella,ell,4,3,ella,ell
una,una,un,3,2,una,un
serie,seri,sery,4,4,seri,sery
de,de,de,2,2,de,de
problemas,problema,problema,8,8,problema,problema
y,y,y,1,1,-,-
métodos,método,métodos,6,7,método,métodos
específicos,específico,específico,10,10,específico,específico
que,que,que,3,3,que,que
la,la,la,2,2,la,la
hacen,hacen,hac,5,3,hacen,hac
distinta,distinta,distint,8,7,distinta,distint
de,de,de,2,2,de,de
otras,otra,otra,4,4,otra,otra
disciplinas,disciplina,disciplina,10,10,disciplina,disciplina
El,el,el,2,2,el,el
hecho,hecho,hecho,5,5,hecho,hecho
es,es,es,2,2,es,es
que,que,que,3,3,que,que
en,en,en,2,2,en,en
la,la,la,2,2,la,la
práctica,práctica,práctica,8,8,práctica,práctica
la,la,la,2,2,la,la
totalidad,totalidad,totalidad,9,9,totalidad,totalidad
de,de,de,2,2,de,de
los,lo,los,2,3,lo,los
modelos,modelo,modelo,6,6,modelo,modelo
y,y,y,1,1,-,-
algoritmos,algoritmo,algoritmo,9,9,algoritmo,algoritmo
de,de,de,2,2,de,de
uso,uso,uso,3,3,uso,uso
general,gener,gen,5,3,gener,gen
en,en,en,2,2,en,en
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
redes,rede,red,4,3,rede,red
neuronales,neuronal,neuron,8,6,neuronal,neuron
árboles,árbole,árboles,6,7,árbole,árboles
de,de,de,2,2,de,de
regresión,regresión,regresión,9,9,regresión,regresión
y,y,y,1,1,-,-
clasificación,clasificación,clasificación,13,13,clasificación,clasificación
modelos,modelo,modelo,6,6,modelo,modelo
logísticos,logístico,logístico,9,9,logístico,logístico
análisis,análisi,anális,7,6,análisi,anális
de,de,de,2,2,de,de
componentes,component,compon,9,6,component,compon
principales,principal,princip,9,7,principal,princip
etc,etc,etc,3,3,etc,etc
gozan,gozan,goz,5,3,gozan,goz
de,de,de,2,2,de,de
una,una,un,3,2,una,un
tradición,tradición,tradición,9,9,tradición,tradición
relativamente,relativament,relativa,12,8,relativament,relativa
larga,larga,larg,5,4,larga,larg
en,en,en,2,2,en,en
otros,otro,otro,4,4,otro,otro
campos,campo,campo,5,5,campo,campo
Ciertamente,ciertament,cierta,10,6,ciertament,cierta
la,la,la,2,2,la,la
minería,minería,minerí,7,6,minería,minerí
de,de,de,2,2,de,de
datos,dato,dato,4,4,dato,dato
bebe,bebe,beb,4,3,bebe,beb
de,de,de,2,2,de,de
la,la,la,2,2,la,la
estadística,estadística,estadístic,11,10,estadística,estadístic
de,de,de,2,2,de,de
la,la,la,2,2,la,la
que,que,que,3,3,que,que
toma,toma,tom,4,3,toma,tom
las,la,las,2,3,la,las
siguientes,siguient,siguy,8,5,siguient,siguy
técnicas:,técnicas:,técnicas:,9,9,técnicas:,técnicas:
Análisis,análisi,anális,7,6,análisi,anális
de,de,de,2,2,de,de
la,la,la,2,2,la,la
Varianza,varianza,varianz,8,7,varianza,varianz
mediante,mediant,medy,7,4,mediant,medy
el,el,el,2,2,el,el
cual,cual,cual,4,4,cual,cual
se,se,se,2,2,se,se
contrasta,contrasta,contrast,9,8,contrasta,contrast
la,la,la,2,2,la,la
existencia,existencia,existenc,10,8,existencia,existenc
de,de,de,2,2,de,de
diferencias,diferencia,diferencia,10,10,diferencia,diferencia
significativas,significativa,significativa,13,13,significativa,significativa
entre,entr,ent,4,3,entr,ent
las,la,las,2,3,la,las
medidas,medida,medida,6,6,medida,medida
de,de,de,2,2,de,de
una,una,un,3,2,una,un
o,o,o,1,1,-,-
más,má,más,2,3,má,más
variables,variabl,vary,7,4,variabl,vary
continuas,continua,continua,8,8,continua,continua
en,en,en,2,2,en,en
grupo,grupo,grupo,5,5,grupo,grupo
de,de,de,2,2,de,de
población,población,población,9,9,población,población
distintos,distinto,distinto,8,8,distinto,distinto
Regresión:,regresión:,regresión:,10,10,regresión:,regresión:
define,defin,defin,5,5,defin,defin
la,la,la,2,2,la,la
relación,relación,relación,8,8,relación,relación
entre,entr,ent,4,3,entr,ent
una,una,un,3,2,una,un
o,o,o,1,1,-,-
más,má,más,2,3,má,más
variables,variabl,vary,7,4,variabl,vary
y,y,y,1,1,-,-
un,un,un,2,2,un,un
conjunto,conjunto,conjunto,8,8,conjunto,conjunto
de,de,de,2,2,de,de
variables,variabl,vary,7,4,variabl,vary
predictoras,predictora,predictora,10,10,predictora,predictora
de,de,de,2,2,de,de
las,la,las,2,3,la,las
primeras,primera,primera,7,7,primera,primera
Ji,ji,ji,2,2,ji,ji
cuadrado:,cuadrado:,cuadrado:,9,9,cuadrado:,cuadrado:
por,por,por,3,3,por,por
medio,medio,medio,5,5,medio,medio
del,del,del,3,3,del,del
cual,cual,cual,4,4,cual,cual
se,se,se,2,2,se,se
realiza,realiza,realiz,7,6,realiza,realiz
el,el,el,2,2,el,el
contraste,contrast,contrast,8,8,contrast,contrast
la,la,la,2,2,la,la
hipótesis,hipótesi,hipótes,8,7,hipótesi,hipótes
de,de,de,2,2,de,de
dependencia,dependencia,dependenc,11,9,dependencia,dependenc
entre,entr,ent,4,3,entr,ent
variables,variabl,vary,7,4,variabl,vary
Análisis,análisi,anális,7,6,análisi,anális
cluster:,cluster:,cluster:,8,8,cluster:,cluster:
permite,permit,permit,6,6,permit,permit
la,la,la,2,2,la,la
clasificación,clasificación,clasificación,13,13,clasificación,clasificación
de,de,de,2,2,de,de
una,una,un,3,2,una,un
población,población,población,9,9,población,población
en,en,en,2,2,en,en
un,un,un,2,2,un,un
número,número,número,6,6,número,número
determinado,determinado,determinado,11,11,determinado,determinado
de,de,de,2,2,de,de
grupos,grupo,grupo,5,5,grupo,grupo
en,en,en,2,2,en,en
base,base,bas,4,3,base,bas
a,a,a,1,1,-,-
semejanzas,semejanza,semejanza,9,9,semejanza,semejanza
y,y,y,1,1,-,-
desemejanzas,desemejanza,desemejanza,11,11,desemejanza,desemejanza
de,de,de,2,2,de,de
perfiles,perfil,perfil,6,6,perfil,perfil
existentes,existent,ex,8,2,existent,ex
entre,entr,ent,4,3,entr,ent
los,lo,los,2,3,lo,los
diferentes,diferent,dif,8,3,diferent,dif
componentes,component,compon,9,6,component,compon
de,de,de,2,2,de,de
la,la,la,2,2,la,la
población,población,población,9,9,población,población
Análisis,análisi,anális,7,6,análisi,anális
discriminante:,discriminante:,discriminante:,14,14,discriminante:,discriminante:
permite,permit,permit,6,6,permit,permit
la,la,la,2,2,la,la
clasificación,clasificación,clasificación,13,13,clasificación,clasificación
de,de,de,2,2,de,de
individuos,individuo,individuo,9,9,individuo,individuo
en,en,en,2,2,en,en
grupos,grupo,grupo,5,5,grupo,grupo
que,que,que,3,3,que,que
previamente,previament,previa,10,6,previament,previa
se,se,se,2,2,se,se
han,han,han,3,3,han,han
establecido,establecido,establecido,11,11,establecido,establecido
permite,permit,permit,6,6,permit,permit
encontrar,encontrar,encontr,9,7,encontrar,encontr
la,la,la,2,2,la,la
regla,regla,regl,5,4,regla,regl
de,de,de,2,2,de,de
clasificación,clasificación,clasificación,13,13,clasificación,clasificación
de,de,de,2,2,de,de
los,lo,los,2,3,lo,los
elementos,elemento,elemento,8,8,elemento,elemento
de,de,de,2,2,de,de
estos,esto,esto,4,4,esto,esto
grupos,grupo,grupo,5,5,grupo,grupo
y,y,y,1,1,-,-
por,por,por,3,3,por,por
tanto,tanto,tanto,5,5,tanto,tanto
una,una,un,3,2,una,un
mejor,mejor,mej,5,3,mejor,mej
identificación,identificación,identificación,14,14,identificación,identificación
de,de,de,2,2,de,de
cuáles,cuál,cuál,4,4,cuál,cuál
son,son,son,3,3,son,son
las,la,las,2,3,la,las
variables,variabl,vary,7,4,variabl,vary
que,que,que,3,3,que,que
definan,definan,defin,7,5,definan,defin
la,la,la,2,2,la,la
pertenencia,pertenencia,pertenenc,11,9,pertenencia,pertenenc
